stage,contract,side,energy_mwh,price_eur_mwh,cashflow_eur,area,date
DA,00:00-00:15,discharge,0.0,35.01,0.0,FR,2026-03-01
DA,00:15-00:30,discharge,0.0,35.01,0.0,FR,2026-03-01
DA,00:30-00:45,discharge,0.0,35.0,0.0,FR,2026-03-01
DA,00:45-01:00,discharge,0.0,24.84,0.0,FR,2026-03-01
DA,01:00-01:15,discharge,0.0,27.25,0.0,FR,2026-03-01
DA,01:15-01:30,discharge,0.0,27.25,0.0,FR,2026-03-01
DA,01:30-01:45,discharge,0.0,40.29,0.0,FR,2026-03-01
DA,01:45-02:00,discharge,0.0,35.0,0.0,FR,2026-03-01
DA,02:00-02:15,discharge,0.0,27.25,0.0,FR,2026-03-01
DA,06:45-07:00,discharge,0.0,24.84,0.0,FR,2026-03-01
DA,07:15-07:30,discharge,0.0,24.5,0.0,FR,2026-03-01
DA,09:15-09:30,charge,0.23717082451262844,0.91,-0.2275,FR,2026-03-01
DA,09:30-09:45,charge,0.23717082451262844,0.0,-0.0,FR,2026-03-01
DA,09:45-10:00,charge,0.23717082451262844,0.0,-0.0,FR,2026-03-01
DA,10:00-10:15,charge,0.23717082451262844,0.87,-0.2175,FR,2026-03-01
DA,10:15-10:30,charge,0.05131670194948623,0.0,-0.0,FR,2026-03-01
DA,10:30-10:45,charge,0.0,-0.06,0.0,FR,2026-03-01
DA,10:45-11:00,charge,0.0,-0.81,0.0,FR,2026-03-01
DA,11:00-11:15,charge,0.0,0.01,-0.0,FR,2026-03-01
DA,11:15-11:30,charge,0.0,0.0,-0.0,FR,2026-03-01
DA,11:30-11:45,charge,0.0,-0.01,0.0,FR,2026-03-01
DA,11:45-12:00,charge,0.0,-0.1,0.0,FR,2026-03-01
DA,12:00-12:15,charge,0.0,-0.1,0.0,FR,2026-03-01
DA,12:15-12:30,charge,0.0,-0.11,0.0,FR,2026-03-01
DA,12:30-12:45,charge,0.0,-0.25,0.0,FR,2026-03-01
DA,12:45-13:00,charge,0.0,-1.0,0.0,FR,2026-03-01
DA,13:00-13:15,charge,0.0,-1.01,0.0,FR,2026-03-01
DA,13:15-13:30,charge,0.0,-1.03,0.0,FR,2026-03-01
DA,13:30-13:45,charge,0.0,-1.0,0.0,FR,2026-03-01
DA,13:45-14:00,charge,0.0,-0.11,0.0,FR,2026-03-01
DA,14:00-14:15,charge,0.0,-1.0,0.0,FR,2026-03-01
DA,14:15-14:30,charge,0.0,-0.06,0.0,FR,2026-03-01
DA,14:30-14:45,charge,0.0,0.0,-0.0,FR,2026-03-01
DA,14:45-15:00,charge,0.0,1.03,-0.0,FR,2026-03-01
DA,15:00-15:15,charge,0.0,-0.06,0.0,FR,2026-03-01
DA,15:15-15:30,charge,0.0,-0.02,0.0,FR,2026-03-01
DA,15:30-15:45,charge,0.0,-0.01,0.0,FR,2026-03-01
DA,15:45-16:00,charge,0.0,0.09,-0.0,FR,2026-03-01
DA,16:00-16:15,charge,0.0,-0.01,0.0,FR,2026-03-01
DA,16:30-16:45,charge,0.0,1.3,-0.0,FR,2026-03-01
DA,17:15-17:30,discharge,0.25,37.79,9.4475,FR,2026-03-01
DA,18:30-18:45,discharge,0.25,32.9,8.225,FR,2026-03-01
DA,18:45-19:00,discharge,0.25,62.28,15.57,FR,2026-03-01
DA,19:00-19:15,discharge,0.19868329805051374,55.68,11.062686035452606,FR,2026-03-01
DA,19:15-19:30,discharge,0.0,59.78,0.0,FR,2026-03-01
DA,19:30-19:45,discharge,0.0,53.8,0.0,FR,2026-03-01
DA,19:45-20:00,discharge,0.0,35.98,0.0,FR,2026-03-01
DA,20:00-20:15,discharge,0.0,35.02,0.0,FR,2026-03-01
DA,20:15-20:30,discharge,0.0,35.02,0.0,FR,2026-03-01
DA,20:30-20:45,discharge,0.0,35.01,0.0,FR,2026-03-01
DA,20:45-21:00,discharge,0.0,35.0,0.0,FR,2026-03-01
DA,21:00-21:15,discharge,0.0,35.0,0.0,FR,2026-03-01
DA,21:15-21:30,discharge,0.0,29.14,0.0,FR,2026-03-01
DA,21:30-21:45,discharge,0.0,27.25,0.0,FR,2026-03-01
DA,22:00-22:15,discharge,0.0,30.8,0.0,FR,2026-03-01
DA,22:30-22:45,discharge,0.0,27.25,0.0,FR,2026-03-01
DA,22:45-23:00,discharge,0.0,24.84,0.0,FR,2026-03-01
DA,23:00-23:15,discharge,0.0,24.84,0.0,FR,2026-03-01
IDA1,00:00-00:15,discharge,0.0,42.51,0.0,FR,2026-03-01
IDA1,00:15-00:30,discharge,0.0,38.51,0.0,FR,2026-03-01
IDA1,01:30-01:45,discharge,0.0,56.55,0.0,FR,2026-03-01
IDA1,01:45-02:00,discharge,0.0,36.0,0.0,FR,2026-03-01
IDA1,02:00-02:15,discharge,0.0,32.0,0.0,FR,2026-03-01
IDA1,02:15-02:30,discharge,0.0,23.42,0.0,FR,2026-03-01
IDA1,06:00-06:15,discharge,0.0,23.4,0.0,FR,2026-03-01
IDA1,06:30-06:45,discharge,0.0,23.79,0.0,FR,2026-03-01
IDA1,06:45-07:00,discharge,0.0,24.84,0.0,FR,2026-03-01
IDA1,07:00-07:15,discharge,0.0,23.4,0.0,FR,2026-03-01
IDA1,07:15-07:30,discharge,0.0,24.5,0.0,FR,2026-03-01
IDA1,07:30-07:45,discharge,0.0,24.0,0.0,FR,2026-03-01
IDA1,07:45-08:00,discharge,0.0,23.5,0.0,FR,2026-03-01
IDA1,09:15-09:30,charge,0.23717082451262844,0.91,-0.2275,FR,2026-03-01
IDA1,09:30-09:45,charge,0.23717082451262844,0.91,-0.2275,FR,2026-03-01
IDA1,09:45-10:00,charge,0.23717082451262844,0.0,-0.0,FR,2026-03-01
IDA1,10:00-10:15,charge,0.23717082451262844,0.59,-0.1475,FR,2026-03-01
IDA1,10:15-10:30,charge,0.05131670194948623,-0.02,0.0010818510677891963,FR,2026-03-01
IDA1,10:30-10:45,charge,0.0,-0.71,0.0,FR,2026-03-01
IDA1,10:45-11:00,charge,0.0,-2.0,0.0,FR,2026-03-01
IDA1,11:15-11:30,charge,0.0,-0.81,0.0,FR,2026-03-01
IDA1,11:30-11:45,charge,0.0,-0.81,0.0,FR,2026-03-01
IDA1,11:45-12:00,charge,0.0,-2.0,0.0,FR,2026-03-01
IDA1,12:00-12:15,charge,0.0,-1.0,0.0,FR,2026-03-01
IDA1,12:15-12:30,charge,0.0,-1.0,0.0,FR,2026-03-01
IDA1,12:30-12:45,charge,0.0,-1.5,0.0,FR,2026-03-01
IDA1,12:45-13:00,charge,0.0,-2.0,0.0,FR,2026-03-01
IDA1,13:00-13:15,charge,0.0,-2.0,0.0,FR,2026-03-01
IDA1,13:15-13:30,charge,0.0,-2.0,0.0,FR,2026-03-01
IDA1,13:30-13:45,charge,0.0,-1.5,0.0,FR,2026-03-01
IDA1,13:45-14:00,charge,0.0,-1.11,0.0,FR,2026-03-01
IDA1,14:00-14:15,charge,0.0,1.92,-0.0,FR,2026-03-01
IDA1,14:15-14:30,charge,0.0,-1.0,0.0,FR,2026-03-01
IDA1,14:30-14:45,charge,0.0,0.32,-0.0,FR,2026-03-01
IDA1,15:00-15:15,charge,0.0,-2.7,0.0,FR,2026-03-01
IDA1,15:15-15:30,charge,0.0,-2.3,0.0,FR,2026-03-01
IDA1,15:30-15:45,charge,0.0,-2.0,0.0,FR,2026-03-01
IDA1,15:45-16:00,charge,0.0,-1.0,0.0,FR,2026-03-01
IDA1,16:00-16:15,charge,0.0,-1.0,0.0,FR,2026-03-01
IDA1,16:15-16:30,charge,0.0,-0.81,0.0,FR,2026-03-01
IDA1,16:30-16:45,charge,0.0,2.31,-0.0,FR,2026-03-01
IDA1,17:00-17:15,charge,0.0,2.37,-0.0,FR,2026-03-01
IDA1,17:15-17:30,discharge,0.25,33.99,8.4975,FR,2026-03-01
IDA1,17:30-17:45,discharge,0.25,26.92,6.73,FR,2026-03-01
IDA1,17:45-18:00,discharge,0.25,27.67,6.9175,FR,2026-03-01
IDA1,18:30-18:45,discharge,0.19868329805051374,38.0,7.549965325919522,FR,2026-03-01
IDA1,18:45-19:00,discharge,0.0,61.28,0.0,FR,2026-03-01
IDA1,19:00-19:15,discharge,0.0,64.99,0.0,FR,2026-03-01
IDA1,19:15-19:30,discharge,0.0,62.81,0.0,FR,2026-03-01
IDA1,19:30-19:45,discharge,0.0,54.79,0.0,FR,2026-03-01
IDA1,19:45-20:00,discharge,0.0,46.27,0.0,FR,2026-03-01
IDA1,20:00-20:15,discharge,0.0,46.95,0.0,FR,2026-03-01
IDA1,20:15-20:30,discharge,0.0,35.22,0.0,FR,2026-03-01
IDA1,20:30-20:45,discharge,0.0,28.52,0.0,FR,2026-03-01
IDA1,21:00-21:15,discharge,0.0,28.99,0.0,FR,2026-03-01
IDA1,21:15-21:30,discharge,0.0,25.0,0.0,FR,2026-03-01
IDA1,22:00-22:15,discharge,0.0,25.85,0.0,FR,2026-03-01
IDA1,23:00-23:15,discharge,0.0,26.54,0.0,FR,2026-03-01
IDA2,00:00-00:15,discharge,0.0,42.89,0.0,FR,2026-03-01
IDA2,00:15-00:30,discharge,0.0,30.01,0.0,FR,2026-03-01
IDA2,00:30-00:45,charge,0.23717082451262844,0.0,-0.0,FR,2026-03-01
IDA2,00:45-01:00,charge,0.23717082451262844,0.0,-0.0,FR,2026-03-01
