area,date,stage,stage_pnl_eur
FR,2026-03-01,DA,43.86018603545261
FR,2026-03-01,IDA1,29.093547176987315
FR,2026-03-01,IDA2,55.22835324250842
FR,2026-03-01,IDA3,46.16442962074772
FR,2026-03-01,VWAP,61.71873037669181
FR,2026-03-01,TOTAL,236.06524645238784
FR,2026-03-02,DA,101.76137603510283
FR,2026-03-02,IDA1,114.36037985937061
FR,2026-03-02,IDA2,150.31410653852174
FR,2026-03-02,IDA3,93.18802913832221
FR,2026-03-02,VWAP,143.63764273135203
FR,2026-03-02,TOTAL,603.2615343026694
FR,2026-03-03,DA,192.44181345443485
FR,2026-03-03,IDA1,145.34241325692852
FR,2026-03-03,IDA2,183.43456812223303
FR,2026-03-03,IDA3,155.0137258953465
FR,2026-03-03,VWAP,179.40537992723958
FR,2026-03-03,TOTAL,855.6379006561824
FR,2026-03-04,DA,186.07417034179338
FR,2026-03-04,IDA1,36.262556202367165
FR,2026-03-04,IDA2,76.81426492602084
FR,2026-03-04,IDA3,108.47798897216325
FR,2026-03-04,VWAP,94.72690856383302
FR,2026-03-04,TOTAL,502.3558890061777
FR,2026-03-05,DA,69.92541924690467
FR,2026-03-05,IDA1,81.10082870905458
FR,2026-03-05,IDA2,53.221593257977844
FR,2026-03-05,IDA3,73.28464341471471
FR,2026-03-05,VWAP,100.39287903410239
FR,2026-03-05,TOTAL,377.9253636627542
FR,2026-03-06,DA,84.3938273038292
FR,2026-03-06,IDA1,56.83384426981914
FR,2026-03-06,IDA2,77.39626033929434
FR,2026-03-06,IDA3,37.309436185501355
FR,2026-03-06,VWAP,90.65802615351316
FR,2026-03-06,TOTAL,346.5913942519572
FR,2026-03-07,DA,31.60567372109456
FR,2026-03-07,IDA1,56.94262095059895
FR,2026-03-07,IDA2,71.22661508438637
FR,2026-03-07,IDA3,96.14940983825967
FR,2026-03-07,VWAP,81.5728164251335
FR,2026-03-07,TOTAL,337.49713601947303
FR,2026-03-08,DA,107.92120236163936
FR,2026-03-08,IDA1,88.46889713051755
FR,2026-03-08,IDA2,98.6451109234967
FR,2026-03-08,IDA3,131.5987637458686
FR,2026-03-08,VWAP,80.8924715033364
FR,2026-03-08,TOTAL,507.52644566485867
FR,2026-03-09,DA,175.98285761218472
FR,2026-03-09,IDA1,147.49170062793533
FR,2026-03-09,IDA2,124.98747293694288
FR,2026-03-09,IDA3,120.66220807879101
FR,2026-03-09,VWAP,100.16324815573508
FR,2026-03-09,TOTAL,669.287487411589
FR,2026-03-10,DA,58.982404271156746
FR,2026-03-10,IDA1,29.226557472722178
FR,2026-03-10,IDA2,20.105816706995565
FR,2026-03-10,IDA3,64.80539010142704
FR,2026-03-10,VWAP,39.899917138078735
FR,2026-03-10,TOTAL,213.02008569038026
FR,2026-03-11,DA,140.4743809087241
FR,2026-03-11,IDA1,119.82161960926445
FR,2026-03-11,IDA2,114.7930931261779
FR,2026-03-11,IDA3,125.02537282114903
FR,2026-03-11,VWAP,165.76198602992585
FR,2026-03-11,TOTAL,665.8764524952413
FR,2026-03-12,DA,93.76750893308115
FR,2026-03-12,IDA1,96.99410140231514
FR,2026-03-12,IDA2,99.26786673393494
FR,2026-03-12,IDA3,86.2374063799827
FR,2026-03-12,VWAP,98.26015809542456
FR,2026-03-12,TOTAL,474.5270415447385
FR,2026-03-13,DA,75.22719847753896
FR,2026-03-13,IDA1,53.61855122632824
FR,2026-03-13,IDA2,89.60634873586581
FR,2026-03-13,IDA3,131.07459238705422
FR,2026-03-13,VWAP,70.34648734087685
FR,2026-03-13,TOTAL,419.87317816766404
FR,2026-03-14,DA,118.78299434158623
FR,2026-03-14,IDA1,103.63999274781206
FR,2026-03-14,IDA2,131.93629216643978
FR,2026-03-14,IDA3,98.71306199454318
FR,2026-03-14,VWAP,157.6981521947435
FR,2026-03-14,TOTAL,610.7704934451248
FR,2026-03-15,DA,102.00974851666645
FR,2026-03-15,IDA1,111.24416404172098
FR,2026-03-15,IDA2,116.83137139667362
FR,2026-03-15,IDA3,136.29334609372597
FR,2026-03-15,VWAP,112.58793957480127
FR,2026-03-15,TOTAL,578.9665696235883
FR,2026-03-16,DA,210.32264863705248
FR,2026-03-16,IDA1,208.74318544834
FR,2026-03-16,IDA2,221.2506084800246
FR,2026-03-16,IDA3,160.38585152089902
FR,2026-03-16,VWAP,230.16992228637997
FR,2026-03-16,TOTAL,1030.872216372696
FR,2026-03-17,DA,135.1074424054899
FR,2026-03-17,IDA1,160.39171387195495
FR,2026-03-17,IDA2,125.48423446959222
FR,2026-03-17,IDA3,105.30945505646982
FR,2026-03-17,VWAP,153.49860845065564
FR,2026-03-17,TOTAL,679.7914542541625
FR,2026-03-18,DA,52.95094163500823
FR,2026-03-18,IDA1,73.0129692160806
FR,2026-03-18,IDA2,66.62292019384053
FR,2026-03-18,IDA3,100.84310756862524
FR,2026-03-18,VWAP,80.67763803517278
FR,2026-03-18,TOTAL,374.10757664872733
FR,2026-03-19,DA,65.08592448552893
FR,2026-03-19,IDA1,129.39723838615873
FR,2026-03-19,IDA2,57.23198570045938
FR,2026-03-19,IDA3,58.43143240380524
FR,2026-03-19,VWAP,71.08030440378442
FR,2026-03-19,TOTAL,381.2268853797367
FR,2026-03-20,DA,89.98750254169789
